,Country,Comfirmed,Recovered,Death,Closed,Active,Death Rate (Closed),Recovery Rate (Closed),Death Rate ,Recovery Rate 
0,Afghanistan,4963,610,127,737,4226,17.23202170963365,82.76797829036636,2.5589361273423332,12.29095305258916
1,Albania,876,682,31,713,163,4.3478260869565215,95.65217391304348,3.5388127853881275,77.85388127853882
2,Algeria,6067,2998,515,3513,2554,14.65983489894677,85.34016510105323,8.488544585462337,49.41486731498269
3,Andorra,758,568,48,616,142,7.792207792207792,92.20779220779221,6.33245382585752,74.93403693931398
4,Angola,45,13,2,15,30,13.333333333333334,86.66666666666667,4.444444444444445,28.888888888888886
5,Antigua and Barbuda,25,19,3,22,3,13.636363636363635,86.36363636363636,12.0,76.0
6,Argentina,6563,1862,319,2181,4382,14.62631820265933,85.37368179734067,4.86058205089136,28.371171720249887
7,Armenia,3538,1430,47,1477,2061,3.1821259309410967,96.8178740690589,1.3284341435839457,40.41831543244771
8,Australia,6980,6270,98,6368,612,1.5389447236180904,98.46105527638191,1.4040114613180517,89.82808022922636
9,Austria,15961,14148,623,14771,1190,4.2177239184889315,95.78227608151107,3.903264206503352,88.64106259006329
10,Azerbaijan,2693,1680,33,1713,980,1.926444833625219,98.07355516637479,1.2253991830672113,62.3839584106944
11,Bahamas,93,39,11,50,43,22.0,78.0,11.827956989247312,41.935483870967744
12,Bahrain,5531,2192,9,2201,3330,0.408905043162199,99.5910949568378,0.16271921894774904,39.6311697703851
13,Bangladesh,16660,3147,250,3397,13263,7.359434795407712,92.64056520459228,1.5006002400960383,18.889555822328933
14,Barbados,85,57,7,64,21,10.9375,89.0625,8.235294117647058,67.05882352941175
15,Belarus,24873,6974,142,7116,17757,1.9955030916245082,98.0044969083755,0.5709001728782214,28.038435251075462
16,Belgium,53779,13732,8761,22493,31286,38.949895523051616,61.050104476948384,16.29074545826438,25.534130422655682
17,Benin,327,76,2,78,249,2.564102564102564,97.43589743589743,0.6116207951070336,23.24159021406728
18,Bhutan,11,5,0,5,6,0.0,100.0,0.0,45.45454545454545
19,Bolivia,2964,313,128,441,2523,29.024943310657598,70.97505668934241,4.318488529014845,10.560053981106613
20,Bosnia and Herzegovina,2158,1168,117,1285,873,9.105058365758754,90.89494163424125,5.421686746987952,54.1241890639481
21,Brazil,178214,72597,12461,85058,93156,14.650003527005104,85.34999647299489,6.992155498445689,40.73585689115333
22,Brunei,141,134,1,135,6,0.7407407407407408,99.25925925925925,0.7092198581560284,95.0354609929078
23,Bulgaria,2023,476,95,571,1452,16.637478108581437,83.36252189141857,4.695996045477014,23.52941176470588
24,Burkina Faso,766,588,51,639,127,7.981220657276995,92.01877934272301,6.657963446475196,76.76240208877284
25,Cabo Verde,267,58,2,60,207,3.3333333333333335,96.66666666666667,0.7490636704119851,21.722846441947567
26,Cambodia,122,121,0,121,1,0.0,100.0,0.0,99.18032786885246
27,Cameroon,2689,1524,125,1649,1040,7.580351728320194,92.4196482716798,4.648568240981778,56.67534399404983
28,Canada,72419,34055,5300,39355,33064,13.467157921483928,86.53284207851607,7.318521382510116,47.02495201535509
29,Central African Republic,143,10,0,10,133,0.0,100.0,0.0,6.993006993006993
30,Chad,357,76,40,116,241,34.48275862068966,65.51724137931035,11.204481792717088,21.288515406162464
31,Chile,31721,14125,335,14460,17261,2.3167358229598896,97.6832641770401,1.0560827212256865,44.52886100690394
32,China,84018,79222,4637,83859,159,5.529519789169917,94.47048021083009,5.519055440500845,94.29169939774809
33,Colombia,12272,2971,493,3464,8808,14.232101616628176,85.76789838337181,4.017275097783572,24.209582790091265
34,Congo (Brazzaville),333,53,11,64,269,17.1875,82.8125,3.303303303303303,15.915915915915916
35,Congo (Kinshasa),1102,146,44,190,912,23.157894736842106,76.84210526315789,3.9927404718693285,13.248638838475499
36,Costa Rica,804,520,7,527,277,1.3282732447817838,98.67172675521822,0.8706467661691543,64.6766169154229
37,Cote d'Ivoire,1857,820,21,841,1016,2.4970273483947683,97.50297265160523,1.1308562197092082,44.15724286483575
38,Croatia,2207,1808,91,1899,308,4.79199578725645,95.20800421274355,4.12324422292705,81.92115994562755
39,Diamond Princess,712,651,13,664,48,1.957831325301205,98.04216867469879,1.8258426966292134,91.43258426966293
40,Cuba,1804,1277,78,1355,449,5.756457564575646,94.24354243542436,4.323725055432372,70.78713968957871
41,Cyprus,903,449,16,465,438,3.4408602150537635,96.55913978494624,1.7718715393133997,49.72314507198228
42,Czechia,8221,4889,283,5172,3049,5.471771075019335,94.52822892498067,3.4424036005352145,59.46965089405182
43,Denmark,10789,8778,527,9305,1484,5.663621708758733,94.33637829124126,4.884604689961999,81.36064510149225
44,Djibouti,1256,886,3,889,367,0.3374578177727784,99.66254218222723,0.23885350318471338,70.54140127388536
45,Dominican Republic,10900,3221,402,3623,7277,11.09577698040298,88.90422301959701,3.688073394495413,29.550458715596328
46,Ecuador,30419,3433,2327,5760,24659,40.39930555555556,59.60069444444444,7.649824123080968,11.28570958940136
47,Egypt,10093,2326,544,2870,7223,18.954703832752614,81.04529616724739,5.389874170216983,23.045675220449816
48,El Salvador,998,349,20,369,629,5.420054200542006,94.579945799458,2.004008016032064,34.96993987975952
49,Equatorial Guinea,439,13,4,17,422,23.52941176470588,76.47058823529412,0.9111617312072893,2.9612756264236904
50,Eritrea,39,38,0,38,1,0.0,100.0,0.0,97.43589743589743
51,Estonia,1746,777,61,838,908,7.279236276849642,92.72076372315036,3.493699885452463,44.50171821305842
52,Eswatini,184,28,2,30,154,6.666666666666667,93.33333333333333,1.0869565217391304,15.217391304347828
53,Ethiopia,261,106,5,111,150,4.504504504504505,95.4954954954955,1.9157088122605364,40.61302681992337
54,Fiji,18,14,0,14,4,0.0,100.0,0.0,77.77777777777779
55,Finland,6003,4300,275,4575,1428,6.0109289617486334,93.98907103825137,4.58104281192737,71.63085124104614
56,France,178349,57898,26994,84892,93457,31.798049286151812,68.20195071384818,15.135492769794057,32.46331630679174
57,Gabon,863,137,9,146,717,6.164383561643835,93.83561643835617,1.0428736964078795,15.874855156431057
58,Gambia,22,10,1,11,11,9.090909090909092,90.9090909090909,4.545454545454546,45.45454545454545
59,Georgia,642,349,11,360,282,3.0555555555555554,96.94444444444444,1.7133956386292832,54.361370716510905
60,Germany,173171,147200,7738,154938,18233,4.994255766822858,95.00574423317715,4.46841561231384,85.00268520710742
61,Ghana,5127,494,22,516,4611,4.263565891472868,95.73643410852713,0.42910083869709387,9.63526428710747
62,Greece,2744,1374,152,1526,1218,9.960681520314548,90.03931847968545,5.539358600583091,50.072886297376094
63,Guatemala,1199,120,27,147,1052,18.367346938775512,81.63265306122449,2.2518765638031693,10.008340283569641
64,Guinea,2298,816,11,827,1471,1.3301088270858523,98.66989117291415,0.4786771105308964,35.50913838120104
65,Guyana,113,36,10,46,67,21.73913043478261,78.26086956521739,8.849557522123893,31.858407079646017
66,Haiti,209,17,16,33,176,48.484848484848484,51.515151515151516,7.655502392344498,8.133971291866029
67,Holy See,12,2,0,2,10,0.0,100.0,0.0,16.666666666666664
68,Honduras,2080,211,121,332,1748,36.44578313253012,63.55421686746988,5.8173076923076925,10.14423076923077
69,Hungary,3313,1007,425,1432,1881,29.678770949720672,70.32122905027933,12.828252339269545,30.395412013281014
70,Iceland,1801,1776,10,1786,15,0.5599104143337066,99.44008958566629,0.5552470849528041,98.61188228761799
71,India,74292,24420,2415,26835,47457,8.999441028507546,91.00055897149245,3.2506864803747377,32.870295590373125
72,Indonesia,14749,3063,1007,4070,10679,24.742014742014742,75.25798525798525,6.82758153095125,20.76750966167198
73,Iran,110767,88357,6733,95090,15677,7.080660426963929,92.91933957303607,6.078525192521238,79.76834255689872
74,Iraq,2913,1903,112,2015,898,5.558312655086849,94.44168734491315,3.8448335049776863,65.3278407140405
75,Ireland,23242,17110,1488,18598,4644,8.000860307559952,91.99913969244005,6.4022029085276655,73.61672833663197
76,Israel,16529,12083,260,12343,4186,2.1064571011909585,97.89354289880905,1.572992921531853,73.10182104180531
77,Italy,221216,109039,30911,139950,81266,22.08717399071097,77.91282600928902,13.973220743526687,49.29073846376392
78,Jamaica,507,100,9,109,398,8.256880733944955,91.74311926605505,1.7751479289940828,19.723865877712033
79,Japan,15968,8531,657,9188,6780,7.150631258162821,92.84936874183718,4.114478957915832,53.425601202404806
80,Jordan,576,390,9,399,177,2.2556390977443606,97.74436090225564,1.5625,67.70833333333334
81,Kazakhstan,5279,2223,32,2255,3024,1.4190687361419068,98.58093126385809,0.6061754120098504,42.110248153059295
82,Kenya,715,259,36,295,420,12.203389830508476,87.79661016949153,5.034965034965035,36.22377622377622
83,"Korea, South",10962,9695,259,9954,1008,2.60196905766526,97.39803094233473,2.362707535121328,88.44189016602809
84,Kuwait,10277,3101,75,3176,7101,2.361460957178841,97.63853904282117,0.7297849566994259,30.174175342998932
85,Kyrgyzstan,1037,709,12,721,316,1.6643550624133148,98.3356449375867,1.1571841851494697,68.37029893924783
86,Latvia,950,627,18,645,305,2.7906976744186047,97.20930232558139,1.8947368421052633,66.0
87,Lebanon,870,234,26,260,610,10.0,90.0,2.9885057471264367,26.89655172413793
88,Liberia,211,85,20,105,106,19.047619047619047,80.95238095238095,9.47867298578199,40.28436018957346
89,Liechtenstein,82,55,1,56,26,1.7857142857142856,98.21428571428571,1.2195121951219512,67.07317073170732
90,Lithuania,1491,850,50,900,591,5.555555555555555,94.44444444444444,3.35345405767941,57.008718980549965
91,Luxembourg,3894,3610,102,3712,182,2.747844827586207,97.2521551724138,2.6194144838212634,92.70672829994864
92,Madagascar,186,101,0,101,85,0.0,100.0,0.0,54.3010752688172
93,Malaysia,6742,5223,109,5332,1410,2.0442610652663165,97.95573893473369,1.6167309403737764,77.46959359240581
94,Maldives,904,29,3,32,872,9.375,90.625,0.33185840707964603,3.2079646017699117
95,Malta,506,434,5,439,67,1.1389521640091116,98.86104783599089,0.9881422924901186,85.7707509881423
96,Mauritania,9,6,1,7,2,14.285714285714285,85.71428571428571,11.11111111111111,66.66666666666666
97,Mauritius,332,322,10,332,0,3.0120481927710845,96.98795180722891,3.0120481927710845,96.98795180722891
98,Mexico,38324,25935,3926,29861,8463,13.147583804962995,86.85241619503701,10.244233378561738,67.67299864314789
99,Moldova,5154,2069,182,2251,2903,8.085295424255886,91.91470457574411,3.531237873496314,40.14357780364765
100,Monaco,96,85,4,89,7,4.49438202247191,95.50561797752809,4.166666666666666,88.54166666666666
101,Mongolia,42,15,0,15,27,0.0,100.0,0.0,35.714285714285715
102,Montenegro,324,298,9,307,17,2.9315960912052117,97.06840390879479,2.7777777777777777,91.9753086419753
103,Morocco,6418,2991,188,3179,3239,5.913809374016987,94.08619062598301,2.929261452165784,46.603303209722654
104,Namibia,16,11,0,11,5,0.0,100.0,0.0,68.75
105,Nepal,217,33,0,33,184,0.0,100.0,0.0,15.207373271889402
106,Netherlands,43183,149,5529,5678,37505,97.37583656216978,2.624163437830222,12.803649584327164,0.3450431882916889
107,New Zealand,1497,1402,21,1423,74,1.4757554462403373,98.52424455375967,1.402805611222445,93.65397461589846
108,Nicaragua,25,7,8,15,10,53.333333333333336,46.666666666666664,32.0,28.000000000000004
109,Niger,854,648,47,695,159,6.762589928057554,93.23741007194245,5.50351288056206,75.87822014051523
110,Nigeria,4787,959,158,1117,3670,14.14503133393017,85.85496866606984,3.300605807395028,20.03342385627742
111,North Macedonia,1674,1205,92,1297,377,7.093292212798766,92.90670778720124,5.4958183990442055,71.98327359617682
112,Norway,8157,32,228,260,7897,87.6923076923077,12.307692307692308,2.7951452739977936,0.3923010910874096
113,Oman,3721,1250,17,1267,2454,1.3417521704814523,98.65824782951856,0.4568664337543671,33.59312012899758
114,Pakistan,34336,8812,737,9549,24787,7.718085663420253,92.28191433657975,2.14643522833178,25.664026095060578
115,Panama,8783,6021,252,6273,2510,4.017216642754662,95.98278335724534,2.869179095980872,68.55288625754298
116,Papua New Guinea,8,8,0,8,0,0.0,100.0,0.0,100.0
117,Paraguay,737,173,10,183,554,5.46448087431694,94.53551912568307,1.3568521031207599,23.473541383989144
118,Peru,72059,23324,2057,25381,46678,8.10448760884126,91.89551239115875,2.854605254027949,32.3679207316227
119,Philippines,11350,2106,751,2857,8493,26.286314315715785,73.71368568428421,6.616740088105727,18.555066079295155
120,Poland,16921,6131,839,6970,9951,12.037302725968436,87.96269727403157,4.958335795756752,36.233083151114
121,Portugal,27913,3013,1163,4176,23737,27.849616858237546,72.15038314176245,4.166517393329273,10.794253573603697
122,Qatar,25149,3019,14,3033,22116,0.46158918562479395,99.53841081437521,0.055668217424152046,12.004453457393932
123,Romania,15778,7685,1002,8687,7091,11.534476804420398,88.46552319557959,6.35061478007352,48.70706046393713
124,Russia,232243,43512,2116,45628,186615,4.637503287455071,95.36249671254492,0.9111146514641991,18.735548541829033
125,Rwanda,286,153,0,153,133,0.0,100.0,0.0,53.4965034965035
126,Saint Lucia,18,17,0,17,1,0.0,100.0,0.0,94.44444444444444
127,Saint Vincent and the Grenadines,17,12,0,12,5,0.0,100.0,0.0,70.58823529411765
128,San Marino,638,161,41,202,436,20.2970297029703,79.70297029702971,6.426332288401254,25.235109717868337
129,Saudi Arabia,42925,15257,264,15521,27404,1.700921332388377,98.29907866761162,0.6150262085032032,35.543389633080956
130,Senegal,1995,742,19,761,1234,2.4967148488830486,97.50328515111694,0.9523809523809524,37.19298245614035
131,Serbia,10243,3600,220,3820,6423,5.7591623036649215,94.24083769633508,2.1478082592990337,35.14595333398419
132,Seychelles,11,10,0,10,1,0.0,100.0,0.0,90.9090909090909
133,Singapore,24671,3851,21,3872,20799,0.5423553719008265,99.45764462809917,0.08512018158972072,15.609419966762598
134,Slovakia,1465,983,27,1010,455,2.6732673267326734,97.32673267326733,1.8430034129692834,67.09897610921502
135,Slovenia,1461,259,102,361,1100,28.254847645429365,71.74515235457064,6.981519507186857,17.727583846680357
136,Somalia,1170,126,52,178,992,29.213483146067414,70.78651685393258,4.444444444444445,10.76923076923077
137,South Africa,11350,4357,206,4563,6787,4.514573745342976,95.48542625465703,1.8149779735682818,38.38766519823788
138,Spain,228030,138980,26920,165900,62130,16.22664255575648,83.77335744424353,11.805464193307898,60.94812086129018
139,Sri Lanka,889,366,9,375,514,2.4,97.6,1.0123734533183353,41.16985376827896
140,Sudan,1661,173,80,253,1408,31.620553359683797,68.37944664031622,4.81637567730283,10.41541240216737
141,Suriname,10,9,1,10,0,10.0,90.0,10.0,90.0
142,Sweden,27272,4971,3313,8284,18988,39.992757122163205,60.007242877836795,12.147990613083016,18.2274860662951
143,Switzerland,30380,26800,1867,28667,1713,6.5127149684306,93.4872850315694,6.1454904542462145,88.21593153390388
